PESEL;Imie;Nazwisko;Wydzial;Stopien;Data rozpoczecia sluzby;Data zakonczenia sluzby;
81042200120;Adam;Abel;Oddziały specjalne;Komisarz;2007-11-6;;
46020500131;Ada;Abel;Drogowy;Komisarz;2011-12-15;;
31010800244;Adolf;Abraham;Drogowy;Aspirant;2014-2-14;;
31040100231;Adela;Abraham;Kryminalny;Starszy przodownik;2007-6-24;;
94030200342;Adrian;Abram;Prewencyjny;Nadkomisarz;2014-11-10;;
33062200317;Adelajda;Abram;Drogowy;Starszy posterunkowy;2013-6-23;;
42022300465;Albert;Abramczuk;Kryminalny;Starszy posterunkowy;2013-4-22;;
42091100452;Adrianna;Abramczuk;Prewencyjny;Starszy przodownik;2015-3-23;;
75071400562;Aleksander;Abramczyk;Prewencyjny;Podkomisarz;2005-10-4;;
47010800510;Agata;Abramczyk;Prewencyjny;Inspektor;2010-2-7;;
33070700643;Aleksy;Abramek;Oddziały specjalne;Aspirant;2004-11-20;;
71021500672;Agnieszka;Abramek;Kryminalny;Podinspektor;2006-2-16;;
41111800787;Alfred;Abramowicz;Drogowy;Komisarz;2004-3-19;;
66102100770;Aldona;Abramowicz;Kryminalny;Posterunkowy;2014-5-9;;
53031000829;Amadeusz;Abramowski;Oddziały specjalne;Przodownik;2006-6-3;;
38072300839;Aleksandra;Abramowski;Oddziały specjalne;Posterunkowy;2007-8-19;;
43012200983;Andrzej;Abramski;Drogowy;Inspektor;2015-10-3;;
74032400997;Alicja;Abramski;Prewencyjny;Aspirant;2010-5-24;;
97081001085;Antoni;Abratkiewicz;Drogowy;Inspektor;2004-9-13;;
23062501038;Alina;Abratkiewicz;Oddziały specjalne;Komisarz;2010-9-2;;
43062601185;Arkadiusz;Abucewicz;Prewencyjny;Podinspektor;2009-8-27;;
65030501156;Amanda;Abucewicz;Oddziały specjalne;Podinspektor;2004-2-11;;
72011601249;Arnold;Achramowicz;Oddziały specjalne;Aspirant;2013-3-27;;
90111001259;Amelia;Achramowicz;Drogowy;Starszy posterunkowy;2010-1-22;;
75030101323;Artur;Achtelik;Prewencyjny;Aspirant;2010-11-16;;
92091501352;Anastazja;Achtelik;Oddziały specjalne;Inspektor;2013-8-23;;
35071401424;Bartłomiej;Adach;Drogowy;Podkomisarz;2014-12-10;;
85012201416;Andżelika;Adach;Oddziały specjalne;Aspirant;2007-12-15;;
96042301565;Bartosz;Adam;Oddziały specjalne;Nadkomisarz;2010-5-11;;
48091801591;Aneta;Adam;Oddziały specjalne;Nadkomisarz;2005-5-12;;
52041101685;Benedykt;Adamaszek;Oddziały specjalne;Podinspektor;2010-11-19;;
54081501650;Anita;Adamaszek;Drogowy;Przodownik;2004-11-1;;
33020301726;Beniamin;Adamcewicz;Prewencyjny;Podkomisarz;2005-12-21;;
37040801714;Anna;Adamcewicz;Drogowy;Przodownik;2009-4-7;;
27102401807;Bernard;Adamczak;Oddziały specjalne;Inspektor;2011-12-19;;
32031001872;Antonina;Adamczak;Kryminalny;Starszy przodownik;2014-6-16;;
77031901964;Błażej;Adamczewski;Drogowy;Posterunkowy;2015-12-23;;
70090101973;Barbara;Adamczewski;Prewencyjny;Inspektor;2006-11-24;;
36081202023;Bogdan;Adamczuk;Kryminalny;Starszy posterunkowy;2015-12-26;;
66060602031;Beata;Adamczuk;Kryminalny;Przodownik;2006-7-2;;
97042102125;Bogumił;Adamczyk;Kryminalny;Komisarz;2005-9-26;;
83020602193;Berenika;Adamczyk;Oddziały specjalne;Posterunkowy;2010-5-12;;
29030202206;Bogusław;Adameczek;Drogowy;Nadkomisarz;2011-6-16;;
73032702290;Bernadeta;Adameczek;Oddziały specjalne;Komisarz;2006-4-10;;
31011302387;Bolesław;Adamek;Kryminalny;Podkomisarz;2010-12-24;;
76080502355;Blanka;Adamek;Drogowy;Podinspektor;2013-4-10;;
95091602405;Borys;Adamiak;Kryminalny;Podinspektor;2005-9-22;;
45112002438;Bogusława;Adamiak;Drogowy;Podkomisarz;2011-9-8;;
78041302527;Bronisław;Adamiec;Oddziały specjalne;Starszy posterunkowy;2008-5-18;;
57040702554;Bożena;Adamiec;Oddziały specjalne;Aspirant;2009-2-22;;
