PESEL;Imie;Nazwisko;Wydzial;Stopien;Data rozpoczecia sluzby;Data zakonczenia sluzby;
Adolf;Abraham;Drogowy;Kryminalny;Posterunkowy;2014-2-14;;
Albert;Abramczuk;Kryminalny;Kryminalny;Posterunkowy;2013-4-22;;
Aleksy;Abramek;Oddziały specjalne;Kryminalny;Posterunkowy;2004-11-20;;
Amadeusz;Abramowski;Oddziały specjalne;Kryminalny;Posterunkowy;2006-6-3;;
Antoni;Abratkiewicz;Drogowy;Kryminalny;Posterunkowy;2004-9-13;2016-7-1;
Arnold;Achramowicz;Oddziały specjalne;Kryminalny;Posterunkowy;2013-3-27;;
Bartłomiej;Adach;Drogowy;Kryminalny;Posterunkowy;2014-12-10;;
Benedykt;Adamaszek;Oddziały specjalne;Kryminalny;Posterunkowy;2010-11-19;;
Bernard;Adamczak;Oddziały specjalne;Kryminalny;Posterunkowy;2011-12-19;;
Bogdan;Adamczuk;Kryminalny;Kryminalny;Posterunkowy;2015-12-26;2016-5-24;
Bogusław;Adameczek;Drogowy;Kryminalny;Posterunkowy;2011-6-16;;
Borys;Adamiak;Kryminalny;Kryminalny;Posterunkowy;2005-9-22;;
